[[2024-03-06 08:36:29]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -72 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-06 08:36:39]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -72 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-06 08:36:49]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -73 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-06 08:36:59]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -74 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-06 08:37:09]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -73 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-06 08:37:19]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -74 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-06 08:37:29]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -72 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-06 08:37:39]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -73 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-06 08:37:50]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -73 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-06 08:38:00]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -72 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-06 08:38:10]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -65 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-06 08:38:20]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -67 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-06 08:38:30]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -66 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-06 08:38:40]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -71 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-06 08:38:50]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -70 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-06 08:39:00]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -72 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-06 08:39:11]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -66 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-06 08:39:21]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -67 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-06 08:39:31]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -66 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-06 08:39:41]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -68 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-06 08:39:51]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -69 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-06 08:40:01]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -72 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-06 08:40:11]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -69 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-06 08:40:21]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -66 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-06 08:40:32]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -65 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-06 08:40:42]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -73 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-06 08:40:52]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -72 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-06 08:41:02]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -74 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-06 08:41:12]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -73 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-06 08:41:22]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -74 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-06 08:41:32]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -75 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-06 08:41:42]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -75 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-06 08:41:52]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -75 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-06 08:42:03]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -75 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-06 08:42:13]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -65 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-06 08:42:23]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -68 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-06 08:42:33]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -73 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-06 08:42:43]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -69 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-06 08:42:53]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -65 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-06 08:43:03]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -68 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-06 08:43:13]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -69 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-06 08:43:24]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -69 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-06 08:43:34]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -64 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-12-06 14:50:03]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -65 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-12-06 14:50:14]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -62 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-12-06 14:50:24]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -70 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-12-06 14:50:34]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -62 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-12-06 14:50:44]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -65 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-12-06 14:50:54]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -67 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-12-06 14:51:04]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -62 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-12-06 14:51:14]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -63 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-12-06 14:51:24]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -69 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-12-06 14:51:35]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -66 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-12-06 14:51:45]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -65 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-12-06 14:51:55]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -69 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-12-06 14:52:05]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -69 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-12-06 14:52:15]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -66 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-12-06 14:52:25]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -65 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-12-06 14:52:35]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -66 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-12-06 14:52:45]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -68 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-12-06 14:52:56]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -67 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-12-06 14:53:06]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -66 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-12-06 14:53:16]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -68 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
