[[2024-03-07 01:01:41]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -64 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:01:51]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -65 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:02:01]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -64 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:02:12]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -65 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:02:22]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -65 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:02:32]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -66 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:02:43]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -65 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:02:53]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -65 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:03:03]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -65 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:03:14]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -65 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:03:24]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -65 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:03:34]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -64 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:03:45]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -65 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:03:55]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -65 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:04:05]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -69 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:04:15]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -64 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:04:26]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -64 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:04:36]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -64 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:04:46]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -64 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:04:56]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -65 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:05:07]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -64 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:05:17]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -65 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:05:27]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -70 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:05:37]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -66 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:05:48]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -64 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:05:58]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -64 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:06:08]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -64 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:06:19]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -64 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:06:29]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -65 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:06:39]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -65 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:06:49]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -65 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:07:00]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -64 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:07:10]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -64 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:07:20]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -65 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:07:30]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -65 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:07:41]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -65 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:07:51]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -64 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:08:01]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -64 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:08:11]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -64 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:08:22]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -63 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:08:32]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -64 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:08:42]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -65 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:08:53]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -65 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:09:03]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -65 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:09:13]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -65 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:09:23]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -70 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:09:34]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -68 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:09:44]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -64 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:09:55]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -66 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:10:05]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -70 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:10:15]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -65 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:10:25]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -65 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:10:36]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -65 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:10:46]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -64 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:10:56]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -67 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:11:06]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -63 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:11:17]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -63 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:11:27]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -64 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:11:37]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -70 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:11:47]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -64 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:11:58]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -64 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:12:08]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -64 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:12:18]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -64 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:12:29]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -65 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:12:39]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -64 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:12:49]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -63 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:12:59]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -64 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:13:10]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -64 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:13:20]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -64 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:13:30]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -63 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:13:40]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -63 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:13:51]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -64 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:14:01]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -63 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:14:11]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -63 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:14:22]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -64 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:14:32]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -64 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:14:42]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -64 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:14:52]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -64 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:15:03]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -64 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:15:13]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -64 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:15:23]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -70 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:15:34]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -64 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:15:44]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -63 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:15:55]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -64 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:16:05]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -68 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:16:15]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -70 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:16:25]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -64 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:16:36]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -64 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:16:46]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -64 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:16:56]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -64 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:17:06]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -70 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:17:17]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -64 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:17:27]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -64 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:17:37]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -64 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:17:48]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -64 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:17:58]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -64 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:18:08]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -64 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:18:18]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -64 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:18:29]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -64 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:18:39]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -64 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:18:49]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -64 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:18:59]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -64 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:19:10]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -64 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:19:20]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -64 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:19:30]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -64 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:19:40]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -64 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:19:51]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -63 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:20:01]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -64 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:20:11]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -64 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:20:21]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -63 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:20:32]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -64 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:20:42]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -64 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:20:53]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -64 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:21:03]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -64 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:21:13]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -63 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:21:23]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -70 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:21:34]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -64 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:21:44]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -64 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:21:55]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -64 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:22:05]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -64 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:22:15]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -64 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:22:25]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -64 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:22:36]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -64 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:22:46]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -64 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:22:56]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -64 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:23:06]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -66 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:23:17]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -64 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:23:27]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -64 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:23:37]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -64 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:23:47]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -63 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:23:57]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -64 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:24:08]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -64 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:24:18]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -64 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:24:28]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -64 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:24:38]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -64 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:24:49]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -65 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:24:59]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -64 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:25:09]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -63 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:25:20]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -64 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:25:30]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -64 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:25:40]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -64 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:25:50]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -63 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:26:01]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -64 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:26:11]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -63 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:26:21]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -64 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:26:31]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -64 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:26:42]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -65 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:26:52]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -64 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:27:02]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -64 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:27:13]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -64 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:27:23]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -63 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:27:33]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -64 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
[[2024-03-07 01:27:44]] Connected to Wi-Fi AP with MAC: 70:0F:6A:54:64:64   , Signal Strength: -64 dBm  , Bus053_MAC: b8:27:eb:c5:7b:a4
